"value","description","date","geography","sex","age","source_file"
63319,"diagnostics pathway waiting up to 8 weeks",2019-01-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
65841,"diagnostics pathway waiting up to 8 weeks",2019-02-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
66844,"diagnostics pathway waiting up to 8 weeks",2019-03-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
70278,"diagnostics pathway waiting up to 8 weeks",2019-04-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
71875,"diagnostics pathway waiting up to 8 weeks",2019-05-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
68646,"diagnostics pathway waiting up to 8 weeks",2019-06-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
68663,"diagnostics pathway waiting up to 8 weeks",2019-07-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
65913,"diagnostics pathway waiting up to 8 weeks",2019-08-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
65133,"diagnostics pathway waiting up to 8 weeks",2019-09-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
69367,"diagnostics pathway waiting up to 8 weeks",2019-10-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
68430,"diagnostics pathway waiting up to 8 weeks",2019-11-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
68723,"diagnostics pathway waiting up to 8 weeks",2019-12-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
67873,"diagnostics pathway waiting up to 8 weeks",2020-01-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
71206,"diagnostics pathway waiting up to 8 weeks",2020-02-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
65882,"diagnostics pathway waiting up to 8 weeks",2020-03-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
41861,"diagnostics pathway waiting up to 8 weeks",2020-04-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
24971,"diagnostics pathway waiting up to 8 weeks",2020-05-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
34082,"diagnostics pathway waiting up to 8 weeks",2020-06-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
42733,"diagnostics pathway waiting up to 8 weeks",2020-07-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
46639,"diagnostics pathway waiting up to 8 weeks",2020-08-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
52808,"diagnostics pathway waiting up to 8 weeks",2020-09-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
55332,"diagnostics pathway waiting up to 8 weeks",2020-10-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
55184,"diagnostics pathway waiting up to 8 weeks",2020-11-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
53369,"diagnostics pathway waiting up to 8 weeks",2020-12-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
47294,"diagnostics pathway waiting up to 8 weeks",2021-01-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
50722,"diagnostics pathway waiting up to 8 weeks",2021-02-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
57517,"diagnostics pathway waiting up to 8 weeks",2021-03-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
58065,"diagnostics pathway waiting up to 8 weeks",2021-04-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
59927,"diagnostics pathway waiting up to 8 weeks",2021-05-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
61699,"diagnostics pathway waiting up to 8 weeks",2021-06-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
59795,"diagnostics pathway waiting up to 8 weeks",2021-07-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
56542,"diagnostics pathway waiting up to 8 weeks",2021-08-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
55761,"diagnostics pathway waiting up to 8 weeks",2021-09-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
59017,"diagnostics pathway waiting up to 8 weeks",2021-10-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
